TimeStamp,ECG,PPG
15:36:57,-26156.0,-14314.0,1135.0
15:36:57,-26156.0,-14314.0,1135.0
15:36:57,-26046.0,-14306.0,1141.0
15:36:57,-26046.0,-14306.0,1141.0
15:36:57,-26046.0,-14306.0,1141.0
15:36:57,-26046.0,-14306.0,1141.0
15:36:57,-26074.0,-14305.0,1148.0
15:36:57,-26074.0,-14305.0,1148.0
15:36:57,-26074.0,-14305.0,1148.0
15:36:57,-26074.0,-14305.0,1148.0
15:36:57,-26065.0,-14310.0,1135.0
15:36:57,-26065.0,-14310.0,1135.0
15:36:57,-26065.0,-14310.0,1135.0
15:36:57,-26065.0,-14310.0,1135.0
15:36:57,-26052.0,-14307.0,1122.0
15:36:57,-26052.0,-14307.0,1122.0
15:36:57,-26052.0,-14307.0,1122.0
15:36:57,-26052.0,-14307.0,1122.0
15:36:57,-25994.0,-14320.0,1111.0
15:36:57,-25994.0,-14320.0,1111.0
15:36:57,-25994.0,-14320.0,1111.0
15:36:57,-25994.0,-14320.0,1111.0
15:36:57,-25967.0,-14328.0,1117.0
15:36:57,-25967.0,-14328.0,1117.0
15:36:57,-25967.0,-14328.0,1117.0
15:36:57,-25967.0,-14328.0,1117.0
15:36:57,-25996.0,-14316.0,1117.0
15:36:57,-25996.0,-14316.0,1117.0
15:36:57,-25996.0,-14316.0,1117.0
15:36:57,-25996.0,-14316.0,1117.0
15:36:57,-26040.0,-14307.0,1120.0
15:36:57,-26040.0,-14307.0,1120.0
15:36:57,-26040.0,-14307.0,1120.0
15:36:57,-26040.0,-14307.0,1120.0
15:36:57,-26081.0,-14322.0,1125.0
15:36:57,-26081.0,-14322.0,1125.0
15:36:57,-26081.0,-14322.0,1125.0
15:36:57,-26081.0,-14322.0,1125.0
15:36:57,-26049.0,-14314.0,1141.0
15:36:57,-26049.0,-14314.0,1141.0
15:36:57,-26049.0,-14314.0,1141.0
15:36:57,-26049.0,-14314.0,1141.0
15:36:57,-26021.0,-14313.0,1150.0
15:36:57,-26021.0,-14313.0,1150.0
15:36:58,-26021.0,-14313.0,1150.0
15:36:58,-26021.0,-14313.0,1150.0
15:36:58,-26074.0,-14304.0,1161.0
15:36:58,-26074.0,-14304.0,1161.0
15:36:58,-26074.0,-14304.0,1161.0
15:36:58,-26074.0,-14304.0,1161.0
15:36:58,-26013.0,-14305.0,1173.0
15:36:58,-26013.0,-14305.0,1173.0
15:36:58,-26013.0,-14305.0,1173.0
15:36:58,-26013.0,-14305.0,1173.0
15:36:58,-26067.0,-14302.0,1183.0
15:36:58,-26067.0,-14302.0,1183.0
15:36:58,-26067.0,-14302.0,1183.0
15:36:58,-26067.0,-14302.0,1183.0
15:36:58,-26025.0,-14298.0,1194.0
15:36:58,-26025.0,-14298.0,1194.0
